StudentCode,MCRCourseCode,UCASCourseCode,AcademicYear,ProgrammeOfStudy,Route,FeeStatusCode,FeeStatus,DateCreated,CycleOfApplication
200303538,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
200304410,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,01/07/2021,2021
200509243,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,17/12/2020,2021
200604317,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,11/12/2021,2022
200614635,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,04/01/2021,2021
200890764,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,18/03/2022,2022
200901578,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,10/03/2022,2022
200906098,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,24/10/2020,2021
200907335,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
200911018,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,06/12/2021,2022
200916507,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,24/02/2022,2022
201012731,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,07/02/2022,2022
201015230,UGCRPSXFU01,M9C8,2022/23,BA,Criminology with Psychology,H,Home,26/01/2022,2022
201015230,UGCRFSXFU01,M9F4,2022/23,BA,Criminology with Forensic Science,H,Home,26/01/2022,2022
201104339,UGCWENXFU01,WQ83,2022/23,BA,Creative Writing and English,H,Home,03/04/2022,2022
201111475,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,10/12/2021,2022
201301108,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201305136,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,18/01/2022,2022
201306008,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,28/10/2021,2022
201307932,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201307932,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201307932,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201307932,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201311746,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,19/01/2021,2021
201402312,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2021,2022
201405495,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201406671,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2021,2022
201410170,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,02/03/2022,2022
201501003,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,11/12/2021,2022
201501309,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,06/01/2021,2021
201501518,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,17/02/2022,2022
201501682,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,27/01/2022,2022
201501682,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201501682,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,27/01/2022,2022
201502665,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,06/12/2021,2022
201503109,UGPHYSFFU01,F301,2022/23,BSc,Physics,H,Home,27/01/2022,2022
201503683,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),Q,Query,28/10/2021,2022
201504025,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,08/04/2022,2022
201504065,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,26/01/2022,2022
201504065,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201504478,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201504478,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201504595,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/11/2021,2022
201505069,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,13/03/2022,2022
201505069,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,13/03/2022,2022
201505094,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,28/12/2021,2022
201505327,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,21/10/2021,2022
201505327,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,21/10/2021,2022
201505327,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,21/10/2021,2022
201505327,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,21/10/2021,2022
201505327,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,11/12/2021,2022
201506790,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,07/03/2022,2022
201507890,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,01/03/2022,2022
201509810,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,28/02/2022,2022
201601200,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,05/01/2022,2022
201601488,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,25/03/2022,2022
201603082,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,01/02/2022,2022
201603166,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,27/01/2022,2022
201604726,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,17/12/2020,2021
201607250,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,03/03/2022,2022
201608158,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,24/11/2021,2022
201609116,UGESUSXFU01,X300,2022/23,BA,Education Studies,H,Home,09/03/2022,2022
201609668,UGBIOMXFU01,BC99,2022/23,BSc,Biomedical Science,H,Home,02/03/2022,2022
201609669,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/11/2021,2022
201701735,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201701807,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201702204,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201703593,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201703894,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201704338,UGMBBSFFU01,A101,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201705728,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,26/01/2022,2022
201705978,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201705999,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,27/01/2022,2022
201706313,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,22/02/2022,2022
201706794,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,07/12/2021,2022
201706996,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,20/10/2021,2022
201707805,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201708567,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201709417,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,20/10/2021,2022
201711140,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,02/03/2022,2022
201711140,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,02/03/2022,2022
201711140,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,02/03/2022,2022
201711634,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201712147,UGCRIMXFU01,M930,2022/23,BA,Criminology,H,Home,25/03/2022,2022
201712640,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,26/01/2022,2022
201712741,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,27/01/2022,2022
201712741,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,27/01/2022,2022
201712741,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201713081,UGEAEEXFU01,H604,2022/23,BEng,Electrical and Electronic Engineering,Q,Query,27/01/2022,2022
201713178,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,26/01/2022,2022
201713314,UGPHYSOXFU01,B160,2022/23,BSc,Physiotherapy,H,Home,18/11/2021,2022
201713314,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,19/11/2021,2022
201713457,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,26/01/2022,2022
201713649,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,20/10/2021,2022
201713795,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),Q,Query,26/01/2022,2022
201713886,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,22/11/2021,2022
201720328,UGNURLXFU01,B761,2022/23,BSc,Nursing (Learning Disability),H,Home,23/11/2021,2022
201720371,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/10/2021,2022
201720884,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,19/01/2022,2022
201721184,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201721272,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,08/01/2022,2022
201724405,UGPRITFFU01,X187,2022/23,BA,Primary Teaching,H,Home,13/10/2021,2021
201724405,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,02/01/2022,2022
201724604,UGESUSFFU01,X322,2022/23,BA,Education Studies,H,Home,27/01/2022,2022
201725012,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,20/10/2021,2022
201760320,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,16/03/2022,2022
201760429,UGEDEYXFU01,X321,2022/23,BEd,Education and Early Years,H,Home,27/04/2022,2022
201760429,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,27/04/2022,2022
201760450,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,Q,Query,22/02/2022,2022
201760746,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201761084,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/12/2020,2021
201800349,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201800447,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201800739,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201801283,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201801489,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201803015,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201804404,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,01/02/2022,2022
201804994,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,18/01/2022,2022
201805079,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,14/12/2021,2022
201805416,UGPHYSOXFU01,B160,2022/23,BSc,Physiotherapy,H,Home,11/12/2021,2022
201807019,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2020,2021
201807019,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,01/11/2020,2021
201807381,UGBMENXFU01,N124,2022/23,BA,Business Management with Entrepreneurship,O,Overseas,18/03/2022,2022
201807746,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,26/01/2022,2022
201807959,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,06/01/2021,2021
201807975,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201808090,UGCSSEFFU01,G601,2022/23,BSc,Computer Science (Software Engineering),Q,Query,19/12/2021,2022
201808090,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,19/12/2021,2022
201808090,UGLAELAFU01,M103,2022/23,LLB,Law (European Legal Studies),Q,Query,19/12/2021,2022
201808090,UGENGLFFU02,Q303,2022/23,BA,English,Q,Query,19/12/2021,2022
201808090,UGBIOLXFU01,C100,2022/23,BSc,Biology,Q,Query,19/12/2021,2022
201808439,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201808439,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,27/01/2022,2022
201808468,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,09/04/2022,2022
201809384,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,26/02/2022,2022
201840035,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),O,Overseas,20/10/2021,2022
201840035,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,20/10/2021,2022
201840259,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,08/11/2021,2022
201840790,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,20/10/2021,2022
201840817,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,26/01/2022,2022
201841127,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,Q,Query,25/03/2022,2022
201841825,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,12/01/2022,2022
201841826,UGCSGDPFU01,G493,2022/23,BSc,Computer Science for Games Development,H,Home,26/01/2022,2022
201842007,UGPHYSOXFU01,B160,2022/23,BSc,Physiotherapy,H,Home,26/01/2022,2022
201842192,UGBUSMXFU01,N100,2022/23,BA,Business Management,H,Home,21/10/2021,2022
201842212,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,18/01/2022,2022
201842540,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,05/01/2021,2021
201842598,UGLAWXXFU01,M100,2022/23,LLB,Law,H,Home,09/12/2021,2022
201842638,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,01/05/2022,2022
201842809,UGMKTGXFU01,N500,2022/23,BA,Marketing,H,Home,26/01/2022,2022
201843586,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,18/01/2022,2022
201843586,UGESUSXFU01,X300,2022/23,BA,Education Studies,H,Home,18/01/2022,2022
201843608,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,13/05/2021,2021
201844525,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),Q,Query,12/04/2022,2022
201844772,UGBIOMXFU01,BC99,2022/23,BSc,Biomedical Science,H,Home,07/12/2021,2022
201844963,UGPHILFFU01,V501,2022/23,BA,Philosophy,H,Home,30/04/2022,2022
201845177,UGGADEXFU01,W291,2022/23,BA,Game Design,H,Home,26/01/2022,2022
201845731,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,11/01/2022,2022
201845997,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),Q,Query,12/03/2022,2022
201846170,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,20/10/2021,2022
201846320,UGCRFSXFU01,M9F4,2022/23,BA,Criminology with Forensic Science,H,Home,05/03/2022,2022
201846320,UGCRLAXFU01,M9M1,2022/23,BA,Criminology with Law,Q,Query,30/03/2022,2022
201846320,UGCRIMXFU01,M930,2022/23,BA,Criminology,Q,Query,30/03/2022,2022
201846326,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201846346,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),Q,Query,11/05/2022,2022
201846395,UGCRIMFFU01,M931,2022/23,BA,Criminology,H,Home,11/01/2022,2022
201846395,UGPCRIXFU01,C8M9,2022/23,BSc,Psychology with Criminology,H,Home,11/01/2022,2022
201846395,UGCRPSXFU01,M9C8,2022/23,BA,Criminology with Psychology,H,Home,11/01/2022,2022
201850063,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,02/01/2022,2022
201851843,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,24/11/2021,2022
201851843,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,03/12/2021,2022
201851843,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,03/12/2021,2022
201851843,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,03/12/2021,2022
201852090,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,07/01/2021,2021
201852093,UGSOCWXFU01,L500,2022/23,BA,Social Work,Q,Query,28/01/2022,2022
201852270,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,26/01/2022,2022
201852270,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201852789,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,04/02/2021,2021
201852817,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,17/03/2021,2021
201852861,UGACFMPFU01,NN4J,2022/23,BSc,Accounting and Financial Management,H,Home,21/04/2022,2022
201852867,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,28/10/2021,2022
201852867,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,14/02/2022,2022
201852867,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,15/02/2022,2022
201852872,UGWCYPXFU01,L591,2022/23,BA,"Working with Children, Young People and Families",H,Home,11/01/2022,2022
201852872,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,11/01/2022,2022
201852874,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201900051,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201900392,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,09/03/2022,2022
201900617,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201900898,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201900971,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201901309,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,H,Home,21/10/2021,2022
201901545,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201901580,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,26/11/2021,2022
201902170,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,18/02/2022,2022
201902170,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,18/02/2022,2022
201902176,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,14/01/2022,2022
201902211,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,01/02/2022,2022
201902626,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,27/01/2022,2022
201904170,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,26/01/2022,2022
201904170,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,24/03/2022,2022
201904512,UGCOMSXFU01,G400,2022/23,BSc,Computer Science,H,Home,27/01/2022,2022
201904705,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,H,Home,08/01/2021,2021
201905007,UGODPRXFU01,B990,2022/23,BSc,Operating Department Practice,Q,Query,26/01/2022,2022
201905105,UGZOOLFFU01,C301,2022/23,BSc,Zoology,H,Home,18/01/2022,2022
201905110,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,26/01/2022,2022
201905411,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,15/02/2022,2022
201905864,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,01/02/2022,2022
201906778,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,16/03/2022,2022
201907008,UGCRIMXFU01,M930,2022/23,BA,Criminology,H,Home,16/12/2021,2022
201907059,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,29/03/2022,2022
201907275,PMMIDWXFU01,B721,2022/23,MSc,Midwifery,H,Home,13/12/2021,2022
201907275,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,13/12/2021,2022
201907275,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,13/12/2021,2022
201907275,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,13/12/2021,2022
201907275,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,27/01/2022,2022
201907508,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201907596,UGBIOMXFU01,BC99,2022/23,BSc,Biomedical Science,O,Overseas,26/01/2022,2022
201907775,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,12/11/2021,2022
201907803,UGMEPRXFU01,W374,2022/23,BA,Media Production,H,Home,26/11/2021,2022
201908130,UGPHILXFU01,V500,2022/23,BA,Philosophy,H,Home,27/01/2022,2022
201908130,UGCHEEPFU01,H813,2022/23,BEng,Chemical Engineering,H,Home,27/01/2022,2022
201908130,UGPHYSXFU01,F300,2022/23,BSc,Physics,H,Home,27/01/2022,2022
201908244,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,26/01/2022,2022
201908250,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,26/01/2022,2022
201908250,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201908816,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,30/12/2021,2022
201909173,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201909381,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,10/01/2022,2022
201909460,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,21/12/2021,2022
201909965,UGMBBSXFU01,A100,2022/23,MB BS,Medicine,Q,Query,21/10/2021,2022
201909973,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,09/04/2022,2022
201910220,UGPSYCFFU01,C802,2022/23,BSc,Psychology,H,Home,01/02/2022,2022
201910245,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,16/12/2021,2022
201910264,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201910921,UGBIOLXFU01,C100,2022/23,BSc,Biology,H,Home,27/01/2022,2022
201910921,UGBIOMXFU01,BC99,2022/23,BSc,Biomedical Science,H,Home,27/01/2022,2022
201910921,UGMARIXFU01,C160,2022/23,BSc,Marine Biology,H,Home,27/01/2022,2022
201910921,UGFOSCXFU01,F410,2022/23,BSc,Forensic Science,H,Home,27/01/2022,2022
201911295,UGPRITXFU01,X120,2022/23,BA,Primary Teaching,H,Home,11/05/2022,2022
201911531,UGESUSFFU01,X322,2022/23,BA,Education Studies,H,Home,04/12/2021,2022
201911915,UGLAWXXFU01,M100,2022/23,LLB,Law,H,Home,29/01/2021,2021
201911969,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,13/01/2022,2022
201912045,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,13/01/2021,2021
201912050,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,08/12/2021,2022
201912342,UGSAESXFU01,C610,2022/23,BSc,Sport and Exercise Science,H,Home,01/02/2022,2022
201912342,UGSAENXFU01,C613,2022/23,BSc,Sport and Exercise Nutrition,H,Home,01/02/2022,2022
201912342,UGSPREXFU01,C602,2022/23,BSc,Sport Rehabilitation,H,Home,01/02/2022,2022
201912342,UGSCPSXFU01,CB69,2022/23,BSc,Sports Coaching and Performance Science,H,Home,01/02/2022,2022
201912412,UGPCRIXFU01,C8M9,2022/23,BSc,Psychology with Criminology,H,Home,27/01/2022,2022
201912412,UGSOCWXFU01,L500,2022/23,BA,Social Work,H,Home,27/01/2022,2022
201912412,UGLACRXFU01,M1M2,2022/23,LLB,Law with Criminology,H,Home,27/01/2022,2022
201912412,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,27/01/2022,2022
201912436,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201912661,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),Q,Query,14/12/2021,2022
201913020,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,04/11/2021,2022
201913044,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,27/11/2021,2022
201913122,PMSOCWXFU01,L508,2022/23,MA,Social Work,H,Home,21/10/2021,2022
201913926,UGPHYSOXFU01,B160,2022/23,BSc,Physiotherapy,H,Home,04/02/2021,2021
201914115,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,04/02/2021,2021
201914510,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),Q,Query,06/04/2022,2022
201914518,UGMATHXFU01,G100,2022/23,BSc,Mathematics,Q,Query,08/04/2022,2022
201914518,UGCHEMXFU01,F100,2022/23,BSc,Chemistry,Q,Query,08/04/2022,2022
201914518,UGACFMPFU01,NN4J,2022/23,BSc,Accounting and Financial Management,Q,Query,08/04/2022,2022
201914737,UGCSSEXFU01,G600,2022/23,BSc,Computer Science (Software Engineering),H,Home,14/04/2022,2022
201914800,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,17/05/2021,2021
201914898,UGPSYCXFU01,C800,2022/23,BSc,Psychology,H,Home,21/10/2021,2022
201915263,UGBMFMXFU01,NN13,2022/23,BA,Business Management and Financial Management,H,Home,07/12/2021,2022
201915263,UGBMACXFU01,NN14,2022/23,BA,Business Management and Accounting,H,Home,07/12/2021,2022
201915263,UGACFMXFU01,NN43,2022/23,BSc,Accounting and Financial Management,H,Home,07/12/2021,2022
201915263,UGFINMXFU01,N340,2022/23,BSc,Financial Management,H,Home,07/12/2021,2022
201915505,UGECECXFU01,X320,2022/23,BA,Early Childhood Education and Care,H,Home,27/01/2022,2022
201915690,UGESUSXFU01,X300,2022/23,BA,Education Studies,H,Home,15/10/2021,2021
201940026,UGNURMXFU01,B760,2022/23,BSc,Nursing (Mental Health),H,Home,26/01/2022,2022
201940026,UGMIDWXFU01,B720,2022/23,BSc,Midwifery,H,Home,26/01/2022,2022
201940026,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,26/01/2022,2022
201940026,UGNURCXFU01,B730,2022/23,BSc,Nursing (Child),H,Home,26/01/2022,2022
201940026,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,26/01/2022,2022
201940118,UGPARAXFU01,B780,2022/23,BSc,Paramedic Science,H,Home,05/01/2021,2021
201940220,UGNURAXFU01,B740,2022/23,BSc,Nursing (Adult),H,Home,12/02/2022,2022
